x,y,labels
25.158928,1.0493914,9
-2.36475,0.553579,7
-5.55236,0.839206,0
0.64349294,0.63563395,2
-1.8480313,0.66329134,4
-8.83229,0.8303862,8
20.266996,0.5659561,3
-0.44557804,1.1581385,1
6.9684067,0.51691324,5
-7.0873737,0.69526136,6
3.022048,0.68576604,17
-3.701997,1.968174,15
-5.900177,0.38815176,16
5.700577,0.76009595,14
-1.551194,-0.45035762,10
-19.851856,1.3922627,12
-3.079811,0.3594236,18
0.25509056,-0.35839397,11
-1.9330025,1.1784904,13
3.8198876,0.70234907,19
2.389155,1.2363416,23
-1.190661,0.7087238,28
13.005803,0.093025625,25
6.790925,0.95558184,22
13.661291,0.74118036,29
2.334861,0.42647037,27
2.115311,0.7156887,26
7.0293756,0.3126905,24
-0.17065644,0.772632,21
3.1522145,1.05932,20
7.076418,1.6739607,38
1.2536889,0.36404702,36
-12.464527,0.38792732,31
-7.1712046,0.3123505,34
-0.017288625,0.08503479,32
-6.179349,0.037388086,30
-11.154627,0.551243,39
11.362212,0.8081908,33
10.982848,1.3809223,35
0.2071777,1.1967698,37
0.31638157,1.2898827,44
8.785903,1.0011631,43
-0.07309067,1.7512639,42
7.6197805,0.64508045,46
11.242795,0.70242685,50
4.5236897,0.92614067,41
-6.4047065,0.49700013,45
1.2911531,0.4884979,40
-13.37882,0.77081513,49
0.18253165,-1.2249656,47
2.0476892,0.41426814,57
1.5191488,1.5586969,53
-5.5393567,-0.48122424,51
-4.534976,0.29082948,54
-7.6985154,-0.21113485,56
5.877496,1.6744337,59
-3.4387252,0.9370768,58
-0.92854303,0.48222035,52
-0.7349597,1.0070611,55
8.644252,1.1800146,48
3.8827507,0.51768756,60
6.850541,1.1584933,65
8.470447,1.0042868,64
10.98655,1.223927,67
8.785301,-0.32816523,62
-7.493169,1.1414299,70
8.088047,0.35399482,68
3.145872,0.5426353,61
-3.7758045,0.9011573,63
2.343656,-0.05470383,66
-3.2178726,0.6525359,80
0.36881244,1.5512996,73
-2.7913694,0.097602725,75
3.6037183,0.9827518,74
24.42436,0.79164726,77
-5.290947,0.82955086,71
0.95076627,0.9833605,69
1.1335063,0.0567943,76
5.7106447,1.3347542,78
0.6151508,0.6240358,72
1.2368412,-0.06156683,85
2.5894785,-0.030028582,83
-5.099511,0.32278746,79
-1.7030766,1.0358086,86
11.306529,0.73139524,87
9.515947,0.5891995,82
-5.275157,0.77920896,89
-6.3687944,0.41651338,88
1.1748512,0.53109914,81
2.5185099,0.45666105,84
