x,y,labels
0.07288212,-1.0318859,0
0.118467644,1.8224396,1
-2.5550764,0.10523034,2
-1.0361422,-0.16749528,3
-3.358587,-1.0586251,4
-1.4531726,-0.7895525,5
-0.29823607,0.5770759,6
-1.4511659,2.8922548,7
-2.03245,-1.3860893,8
0.010332104,2.1155384,9
0.13217112,-3.1143837,10
0.29731315,-2.7487803,11
-0.35059202,0.42390642,12
-1.6397427,-1.7581222,13
-0.95884275,1.9567745,14
-1.1473384,1.257052,15
-1.3836848,-0.2789995,16
-0.32264784,-0.6265227,17
0.42051005,-2.2737284,18
0.44180304,-2.004785,19
-0.7693394,1.3261842,20
-0.18065831,-1.290548,21
-2.496869,1.8609701,22
0.37456244,-5.987766,23
-0.10520914,2.212984,24
-0.5444674,0.4603202,25
-0.6578579,0.5452076,26
0.169398,-4.0118885,27
0.57242143,-1.9460993,28
0.34852344,2.148876,29
-3.4371376,-1.1224171,30
-3.471271,0.7060253,31
-0.52313167,0.5734079,32
-0.6569795,0.29887325,33
-0.70368,-0.74224555,34
0.370417,-1.8561158,35
-2.054955,0.60275173,36
-1.6152875,2.1914968,37
-1.2101375,-0.6334751,38
-0.04023023,-3.5272543,39
-3.2073326,2.8089805,40
-5.0401354,-0.461483,41
0.031696655,-1.1243947,42
-0.8508975,-1.8336482,43
-0.26737952,0.34367076,44
-2.3295016,0.347672,45
-0.515509,0.3096628,46
-0.6050373,0.7750501,47
-1.4000235,-1.4651937,48
0.10518238,1.8646395,49
-1.3914402,-1.7234083,50
-0.25533086,2.4390488,51
-1.5557711,2.6928587,52
-0.63646126,0.27157724,53
0.49013475,-2.6572013,54
-2.362329,0.8320422,55
-1.2389165,-0.46321803,56
-3.1098895,-0.18541874,57
-0.15329085,0.26301265,58
0.2678086,1.6376007,59
-0.24219443,0.43793353,60
-0.7810002,0.4765662,61
-0.6967679,-0.24117684,62
-2.0297713,-1.6751837,63
-1.9198248,-0.95736384,64
-4.569298,-0.35248137,65
0.20428447,1.8304542,66
-3.1476681,1.864992,67
-4.2244973,-0.5970684,68
-0.20731348,-0.9503334,69
-0.3851059,2.675317,70
-0.41930968,0.27387872,71
-2.9808736,-4.027948,72
-0.3383724,-2.2019496,73
-4.019572,-3.3479683,74
-7.243848,-1.1784444,75
-0.6017536,0.40734142,76
-0.34578794,-1.1375716,77
-0.42645738,0.5305249,78
0.44723505,-1.9701319,79
-0.6004894,0.37461892,80
-1.0731525,-1.893153,81
-1.6996837,0.4168905,82
-0.09592051,1.9426253,83
-0.0073556155,2.4680066,84
-0.26305944,2.2029784,85
-1.6370445,0.5921287,86
-0.19757178,0.81629616,87
0.19749223,1.7508085,88
-0.12273321,2.4360256,89
